temp,pressure,humidity,temp_min,temp_max,speed,deg,city,lat,lon,current_time
28.98,1004,74,26.01,32,3.44,190,Boston,42.3584,-71.0598,2021-01-21 19:52:42.932344
67.26,1013,94,66,68,8.05,260,Houston,29.7633,-95.3633,2021-01-21 19:52:43.789247
58.17,1016,47,55.99,60.01,8.05,320,San Jose,37.3394,-121.895,2021-01-21 19:52:44.772592
35.35,1002,67,35.01,36,15.99,309,Novi,42.4806,-83.4755,2021-01-21 19:52:45.563599
42.31,1005,50,39.99,46.99,1.99,308,Washington DC.,38.895,-77.0366,2021-01-21 19:52:46.425696
37.99,1004,60,34,39.99,3.44,240,New York,40.7143,-74.006,2021-01-21 19:52:47.299985
38.37,1004,56,34,41,6.91,190,Philadelphia,39.9523,-75.1638,2021-01-21 19:52:48.139568
64.22,1016,40,61,68,5.75,0,Los Angeles,34.0522,-118.2437,2021-01-21 19:52:49.049447
38.77,1002,48,37.99,39.2,17.27,290,Detroit,42.3314,-83.0458,2021-01-21 19:52:49.969085
50.9,1016,66,48.99,54,16.11,310,San Francisco,37.7749,-122.4194,2021-01-21 19:52:50.826485
34.5,1008,55,34,35.6,14.97,270,Chicago,41.85,-87.65,2021-01-21 19:52:51.685878
67.75,1016,43,66,69.8,11.5,250,Jacksonville,30.3322,-81.6556,2021-01-21 19:52:52.579805
52.3,1010,71,50,54,3.44,300,Charlotte,35.2271,-80.8431,2021-01-21 19:52:53.416091
40.57,1015,42,39,42.01,4.5,32,Denver,39.7392,-104.9847,2021-01-21 19:52:54.305477
41.36,1004,39,37.99,44.6,3.44,0,Baltimore,39.2904,-76.6122,2021-01-21 19:52:55.145666
58.17,1016,47,55.99,60.01,8.05,320,San Jose,37.3394,-121.895,2021-01-21 19:52:55.925791
43.41,1017,81,42.01,45,10.36,350,Seattle,47.6062,-122.3321,2021-01-21 19:52:56.708253
37.62,1004,56,34,39.2,18.41,240,Pittsburgh,40.4406,-79.9959,2021-01-21 19:52:57.554942
48.81,1014,93,48,51.01,3.44,300,Atlanta,33.749,-84.388,2021-01-21 19:52:58.447464
61.59,1014,94,60.01,63,3.02,161,Austin,30.2672,-97.7431,2021-01-21 19:52:59.282568
