current_time,temp,deg,speed,humidity,pressure,City
22-Jan-2021 03:00:00,29.95,230,6.71,81,1004,Boston
22-Jan-2021 06:00:00,30.52,234,6.49,88,1002,Boston
22-Jan-2021 09:00:00,31.64,249,6.4,91,1001,Boston
22-Jan-2021 12:00:00,31.53,262,7.14,94,1001,Boston
22-Jan-2021 15:00:00,35.98,272,7.76,79,1002,Boston
22-Jan-2021 18:00:00,40.14,274,6.38,65,1002,Boston
22-Jan-2021 21:00:00,39.36,263,5.21,68,1003,Boston
23-Jan-2021 00:00:00,35.56,268,7.85,80,1005,Boston
23-Jan-2021 03:00:00,32.92,298,11.99,84,1007,Boston
23-Jan-2021 06:00:00,28.99,287,12.21,83,1007,Boston
23-Jan-2021 09:00:00,27.16,294,13.31,81,1008,Boston
23-Jan-2021 12:00:00,24.73,296,13.44,79,1009,Boston
23-Jan-2021 15:00:00,25.7,301,14.85,76,1009,Boston
23-Jan-2021 18:00:00,27.77,305,15.82,73,1009,Boston
23-Jan-2021 21:00:00,25.36,305,17.94,75,1010,Boston
24-Jan-2021 00:00:00,22.3,304,17.36,78,1012,Boston
24-Jan-2021 03:00:00,20.35,300,16.53,78,1013,Boston
24-Jan-2021 06:00:00,21.52,297,16.62,75,1013,Boston
24-Jan-2021 09:00:00,21.81,298,16.17,72,1013,Boston
24-Jan-2021 12:00:00,21.27,294,15.12,71,1013,Boston
24-Jan-2021 15:00:00,24.24,291,15.82,70,1013,Boston
24-Jan-2021 18:00:00,29.64,291,15.39,68,1011,Boston
24-Jan-2021 21:00:00,29.52,295,15.01,73,1012,Boston
25-Jan-2021 00:00:00,27.61,305,14.12,78,1013,Boston
25-Jan-2021 03:00:00,26.08,306,13.2,80,1014,Boston
25-Jan-2021 06:00:00,24.21,308,10.69,82,1014,Boston
25-Jan-2021 09:00:00,23.83,298,9.44,82,1014,Boston
25-Jan-2021 12:00:00,23.54,297,9.66,81,1014,Boston
25-Jan-2021 15:00:00,28.56,296,10.42,77,1015,Boston
25-Jan-2021 18:00:00,34,309,12.03,68,1013,Boston
25-Jan-2021 21:00:00,32.41,314,11.68,74,1014,Boston
26-Jan-2021 00:00:00,29.25,315,9.53,79,1014,Boston
26-Jan-2021 03:00:00,27.68,332,8.19,80,1014,Boston
26-Jan-2021 06:00:00,26.62,344,6.02,81,1014,Boston
26-Jan-2021 09:00:00,25.14,356,6.62,83,1013,Boston
26-Jan-2021 12:00:00,24.17,352,5.23,84,1014,Boston
26-Jan-2021 15:00:00,26.96,341,4.76,81,1014,Boston
26-Jan-2021 18:00:00,31.84,355,3.58,80,1013,Boston
26-Jan-2021 21:00:00,31.93,327,2.33,78,1014,Boston
27-Jan-2021 00:00:00,29.84,317,5.5,80,1016,Boston
22-Jan-2021 03:00:00,65.75,278,3.6,96,1013,Houston
22-Jan-2021 06:00:00,64.67,232,2.73,94,1013,Houston
22-Jan-2021 09:00:00,64.11,258,4.7,92,1012,Houston
22-Jan-2021 12:00:00,63.27,283,4.29,82,1013,Houston
22-Jan-2021 15:00:00,63.55,217,1.61,75,1014,Houston
22-Jan-2021 18:00:00,67.64,299,4.36,62,1014,Houston
22-Jan-2021 21:00:00,69.55,331,0.94,58,1012,Houston
23-Jan-2021 00:00:00,68.14,53,1.16,62,1013,Houston
23-Jan-2021 03:00:00,65.32,39,2.75,71,1015,Houston
23-Jan-2021 06:00:00,62.92,67,5.53,87,1016,Houston
23-Jan-2021 09:00:00,61.16,65,8.99,86,1016,Houston
23-Jan-2021 12:00:00,59.13,82,7.27,84,1016,Houston
23-Jan-2021 15:00:00,59.76,80,6.4,81,1018,Houston
23-Jan-2021 18:00:00,62.35,85,7.76,76,1017,Houston
23-Jan-2021 21:00:00,64.9,93,7.67,74,1015,Houston
24-Jan-2021 00:00:00,64.31,114,8.57,80,1015,Houston
24-Jan-2021 03:00:00,62.76,106,9.13,85,1015,Houston
24-Jan-2021 06:00:00,62.29,112,7.09,91,1015,Houston
24-Jan-2021 09:00:00,63.37,119,7.31,96,1013,Houston
24-Jan-2021 12:00:00,64.26,125,7.83,97,1013,Houston
24-Jan-2021 15:00:00,66.36,138,8.08,96,1014,Houston
24-Jan-2021 18:00:00,70.39,155,8.46,89,1012,Houston
24-Jan-2021 21:00:00,73.74,168,14.45,75,1010,Houston
25-Jan-2021 00:00:00,70.83,164,9.75,84,1009,Houston
25-Jan-2021 03:00:00,70.36,165,11.54,90,1009,Houston
25-Jan-2021 06:00:00,70.72,179,10.33,91,1008,Houston
25-Jan-2021 09:00:00,70.7,180,13.98,87,1007,Houston
25-Jan-2021 12:00:00,70.39,188,11.77,86,1007,Houston
25-Jan-2021 15:00:00,70.72,206,11.68,87,1009,Houston
25-Jan-2021 18:00:00,68.9,330,8.68,37,1009,Houston
25-Jan-2021 21:00:00,75.29,313,7.81,24,1008,Houston
26-Jan-2021 00:00:00,71.2,317,6.08,28,1009,Houston
26-Jan-2021 03:00:00,66.87,353,3.89,32,1011,Houston
26-Jan-2021 06:00:00,64.2,12,3.56,36,1011,Houston
26-Jan-2021 09:00:00,62.4,64,3.36,39,1011,Houston
26-Jan-2021 12:00:00,60.69,81,5.95,44,1011,Houston
26-Jan-2021 15:00:00,62.73,84,7.96,42,1012,Houston
26-Jan-2021 18:00:00,64.17,109,8.34,51,1011,Houston
26-Jan-2021 21:00:00,65.41,80,6.06,69,1010,Houston
27-Jan-2021 00:00:00,63.28,57,6.71,77,1010,Houston
22-Jan-2021 03:00:00,56.14,147,1.3,44,1016,San Jose
