temp,pressure,humidity,temp_min,temp_max,speed,deg,city,lat,lon,current_time
65.19,1021,37,60.8,68,11.41,230,Boston,42.36,-71.06,2019-04-07 15:59:41.640327
64.45,1008,100,62.6,66,4.7,70,Houston,29.76,-95.37,2019-04-07 15:59:41.727386
79.77,1013,47,78.8,81,14.99,330,San Jose,27.58,-98.31,2019-04-07 15:59:41.817559
67.59,1011,40,64,72,11.41,120,Novi,42.48,-83.48,2019-04-07 15:59:41.899547
70.16,1020,43,68,72,5.82,160,Washington DC.,38.9,-77.04,2019-04-07 15:59:41.990161
63.32,1021,45,57,69.01,11.41,160,New York,40.73,-73.99,2019-04-07 15:59:42.070683
69.71,1021,42,66.99,72,9.17,140,Philadelphia,39.95,-75.16,2019-04-07 15:59:42.197977
73.49,1021,56,66.2,82,2.28,246.002,Los Angeles,34.05,-118.24,2019-04-07 15:59:42.275568
67.3,1012,49,61,71.01,5.82,110,Detroit,42.35,-83.06,2019-04-07 15:59:42.364625
66.18,1026,82,62.01,70,8.05,270,San Francisco,37.78,-122.42,2019-04-07 15:59:42.439834
63.5,1008,87,60.8,69.01,10.29,210,Chicago,41.88,-87.62,2019-04-07 15:59:42.517908
82.87,1020,48,73.4,89.6,9.17,60,Jacksonville,30.33,-81.66,2019-04-07 15:59:42.607812
66.56,1022,88,63,70,3.36,200,Charlotte,35.23,-80.84,2019-04-07 15:59:42.675124
67.41,1020,15,64,70,3.36,130,Denver,39.74,-104.98,2019-04-07 15:59:42.932874
68.92,1021,52,66,72,10.29,140,Baltimore,39.29,-76.61,2019-04-07 15:59:43.006483
79.77,1013,47,78.8,81,14.99,330,San Jose,27.58,-98.31,2019-04-07 15:59:43.100077
49.86,1017,76,48,52,5.82,180,Seattle,47.6,-122.33,2019-04-07 15:59:43.190096
70.84,1016,43,69.01,72,5.82,190,Pittsburgh,40.44,-79.99,2019-04-07 15:59:43.270323
79.18,1020,57,75.99,82,4.7,190,Atlanta,33.75,-84.39,2019-04-07 15:59:43.347773
65.98,1012,77,63,69.8,5.82,350,Austin,30.27,-97.74,2019-04-07 15:59:43.427643
